fips,Year,DrugDeaths,DrugDeathRate,Is_Suppressed,UnemploymentRate,PovertyRate,MedianIncome,RepublicanMargin,SuicideDeaths,SuicideRate,Population
01001,2018,0.0,,True,3.6,13.8,59338.0,48.99691667000361,11.0,,55200.0
01001,2019,0.0,,True,2.9,12.1,58233.0,48.99691667000361,,,55380.0
01001,2020,0.0,,True,5.3,11.2,67565.0,44.41843716240547,,,55639.0
01001,2021,10.0,,False,2.8,10.7,66444.0,44.41843716240547,13.0,,58239.0
01001,2022,10.0,,False,2.2,11.8,70148.0,44.41843716240547,,,58761.0
01001,2023,10.0,,False,2.2,11.7,68857.0,44.41843716240547,10.0,,58761.0
01003,2018,25.0,11.466732715,False,3.6,9.8,57588.0,57.160111326996805,44.0,20.181449579,208107.0
01003,2019,31.0,13.88677352,False,2.9,10.1,59871.0,57.160111326996805,39.0,17.470457009,212830.0
01003,2020,57.0,24.859673684,False,6.1,8.9,71135.0,53.762342836823834,51.0,22.242865928,218289.0
01003,2021,84.0,35.103262096,False,2.9,10.8,65658.0,53.762342836823834,41.0,17.133735071,227131.0
01003,2022,74.0,30.028202163,False,2.3,12.4,71704.0,53.762342836823834,47.0,19.071966239,233420.0
01003,2023,72.0,28.401582599,False,2.3,10.0,74248.0,53.762342836823834,51.0,20.117787675,233420.0
01005,2018,0.0,,True,5.1,30.9,34382.0,5.5688222370809015,,,25782.0
01005,2019,0.0,,True,4.0,27.1,35972.0,5.5688222370809015,,,25361.0
01005,2020,0.0,,True,7.7,25.5,38866.0,7.663053812511883,,,25026.0
01005,2021,0.0,,True,5.5,23.0,38649.0,7.663053812511883,,,25259.0
01005,2022,11.0,,False,4.0,26.7,41151.0,7.663053812511883,,,24877.0
01005,2023,0.0,,True,4.4,25.5,45298.0,7.663053812511883,,,24877.0
01007,2018,0.0,,True,4.0,21.8,46064.0,55.153645538042866,,,22527.0
01007,2019,0.0,,True,3.2,20.3,47918.0,55.153645538042866,,,22493.0
01007,2020,0.0,,True,7.2,17.8,50907.0,57.72798332464825,,,22374.0
01007,2021,0.0,,True,3.4,20.6,48454.0,57.72798332464825,,,22412.0
01007,2022,0.0,,True,2.4,20.0,54309.0,57.72798332464825,,,22251.0
01007,2023,10.0,,False,2.5,19.4,56025.0,57.72798332464825,,,22251.0
01009,2018,0.0,,True,3.5,13.2,50412.0,80.90901985305612,10.0,,57645.0
01009,2019,0.0,,True,2.8,16.3,52902.0,80.90901985305612,16.0,,57681.0
01009,2020,14.0,,False,4.5,13.1,55203.0,80.00217485863418,13.0,,57755.0
01009,2021,16.0,,False,2.4,12.0,56894.0,80.00217485863418,14.0,,58884.0
01009,2022,17.0,,False,2.2,13.6,60553.0,80.00217485863418,14.0,,59077.0
01009,2023,21.0,35.107663501,False,2.1,12.8,64962.0,80.00217485863418,12.0,,59077.0
01011,2018,0.0,,True,4.7,42.5,29267.0,-50.74309978768577,,,10352.0
01011,2019,0.0,,True,3.9,30.0,31906.0,-50.74309978768577,,,10248.0
01011,2020,0.0,,True,5.9,30.8,33124.0,-49.85909386516367,0.0,,10173.0
01011,2021,0.0,,False,3.9,32.1,32027.0,-49.85909386516367,,,10386.0
01011,2022,0.0,,True,2.8,31.5,35798.0,-49.85909386516367,,,10328.0
01011,2023,11.0,,False,2.4,33.6,36204.0,-49.85909386516367,,,10328.0
01013,2018,0.0,,False,4.7,24.5,37365.0,13.456252863032518,,,20025.0
01013,2019,0.0,,True,3.9,21.6,39944.0,13.456252863032518,,,19828.0
01013,2020,0.0,,True,9.5,20.6,42268.0,15.735666104553118,,,19726.0
01013,2021,0.0,,True,5.1,22.7,39442.0,15.735666104553118,,,19181.0
01013,2022,0.0,,True,3.3,23.4,41852.0,15.735666104553118,,,18981.0
01013,2023,0.0,,True,2.9,23.6,44729.0,15.735666104553118,,,18981.0
