"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Autauga County, AL","01001","2018","2018",Suppressed,55601,Suppressed
,"Autauga County, AL","01001","2019","2019",Suppressed,55869,Suppressed
,"Autauga County, AL","01001","2020","2020",Suppressed,56145,Suppressed
,"Autauga County, AL","01001","2021","2021",10,59095,Unreliable
,"Autauga County, AL","01001","2022","2022",10,59759,Unreliable
,"Autauga County, AL","01001","2023 ","2023",10,60342,Unreliable
,"Baldwin County, AL","01003","2018","2018",25,218022,11.466732715
,"Baldwin County, AL","01003","2019","2019",31,223234,13.886773520
,"Baldwin County, AL","01003","2020","2020",57,229287,24.859673684
,"Baldwin County, AL","01003","2021","2021",84,239294,35.103262096
,"Baldwin County, AL","01003","2022","2022",74,246435,30.028202163
,"Baldwin County, AL","01003","2023 ","2023",72,253507,28.401582599
,"Barbour County, AL","01005","2018","2018",Suppressed,24881,Suppressed
,"Barbour County, AL","01005","2019","2019",Suppressed,24686,Suppressed
,"Barbour County, AL","01005","2020","2020",Suppressed,24589,Suppressed
,"Barbour County, AL","01005","2021","2021",Suppressed,24964,Suppressed
,"Barbour County, AL","01005","2022","2022",11,24706,Unreliable
,"Barbour County, AL","01005","2023 ","2023",Suppressed,24585,Suppressed
,"Bibb County, AL","01007","2018","2018",Suppressed,22400,Suppressed
,"Bibb County, AL","01007","2019","2019",Suppressed,22394,Suppressed
,"Bibb County, AL","01007","2020","2020",Suppressed,22136,Suppressed
,"Bibb County, AL","01007","2021","2021",Suppressed,22477,Suppressed
,"Bibb County, AL","01007","2022","2022",Suppressed,22005,Suppressed
,"Bibb County, AL","01007","2023 ","2023",10,21868,Unreliable
,"Blount County, AL","01009","2018","2018",Suppressed,57840,Suppressed
,"Blount County, AL","01009","2019","2019",Suppressed,57826,Suppressed
,"Blount County, AL","01009","2020","2020",14,57879,Unreliable
,"Blount County, AL","01009","2021","2021",16,59041,Unreliable
,"Blount County, AL","01009","2022","2022",17,59512,Unreliable
,"Blount County, AL","01009","2023 ","2023",21,59816,35.107663501
,"Bullock County, AL","01011","2018","2018",Suppressed,10138,Suppressed
,"Bullock County, AL","01011","2019","2019",Suppressed,10101,Suppressed
,"Bullock County, AL","01011","2020","2020",Suppressed,9976,Suppressed
,"Bullock County, AL","01011","2021","2021",0,10320,Unreliable
,"Bullock County, AL","01011","2022","2022",Suppressed,10202,Suppressed
,"Bullock County, AL","01011","2023 ","2023",11,9897,Unreliable
,"Butler County, AL","01013","2018","2018",0,19680,Unreliable
,"Butler County, AL","01013","2019","2019",Suppressed,19448,Suppressed
,"Butler County, AL","01013","2020","2020",Suppressed,19504,Suppressed
,"Butler County, AL","01013","2021","2021",Suppressed,18884,Suppressed
,"Butler County, AL","01013","2022","2022",Suppressed,18650,Suppressed
,"Butler County, AL","01013","2023 ","2023",Suppressed,18382,Suppressed
,"Calhoun County, AL","01015","2018","2018",15,114277,Unreliable
,"Calhoun County, AL","01015","2019","2019",22,113605,19.365344835
,"Calhoun County, AL","01015","2020","2020",30,113469,26.438939270
,"Calhoun County, AL","01015","2021","2021",37,115972,31.904252751
,"Calhoun County, AL","01015","2022","2022",59,115788,50.955193975
,"Calhoun County, AL","01015","2023 ","2023",62,116429,53.251337725
,"Chambers County, AL","01017","2018","2018",Suppressed,33615,Suppressed
,"Chambers County, AL","01017","2019","2019",Suppressed,33254,Suppressed
,"Chambers County, AL","01017","2020","2020",Suppressed,32865,Suppressed
,"Chambers County, AL","01017","2021","2021",11,34541,Unreliable
,"Chambers County, AL","01017","2022","2022",Suppressed,34088,Suppressed
,"Chambers County, AL","01017","2023 ","2023",11,34079,Unreliable
,"Cherokee County, AL","01019","2018","2018",Suppressed,26032,Suppressed
,"Cherokee County, AL","01019","2019","2019",Suppressed,26196,Suppressed
,"Cherokee County, AL","01019","2020","2020",Suppressed,26294,Suppressed
,"Cherokee County, AL","01019","2021","2021",Suppressed,24996,Suppressed
,"Cherokee County, AL","01019","2022","2022",Suppressed,25302,Suppressed
,"Cherokee County, AL","01019","2023 ","2023",10,25666,Unreliable
,"Chilton County, AL","01021","2018","2018",Suppressed,44153,Suppressed
,"Chilton County, AL","01021","2019","2019",Suppressed,44428,Suppressed
,"Chilton County, AL","01021","2020","2020",10,44397,Unreliable
,"Chilton County, AL","01021","2021","2021",12,45274,Unreliable
,"Chilton County, AL","01021","2022","2022",14,45884,Unreliable
,"Chilton County, AL","01021","2023 ","2023",16,46431,Unreliable
,"Choctaw County, AL","01023","2018","2018",0,12841,Unreliable
,"Choctaw County, AL","01023","2019","2019",Suppressed,12589,Suppressed
,"Choctaw County, AL","01023","2020","2020",0,12418,Unreliable
,"Choctaw County, AL","01023","2021","2021",Suppressed,12533,Suppressed
,"Choctaw County, AL","01023","2022","2022",0,12439,Unreliable
,"Choctaw County, AL","01023","2023 ","2023",Suppressed,12252,Suppressed
,"Clarke County, AL","01025","2018","2018",Suppressed,23920,Suppressed
,"Clarke County, AL","01025","2019","2019",Suppressed,23622,Suppressed
,"Clarke County, AL","01025","2020","2020",Suppressed,23291,Suppressed
,"Clarke County, AL","01025","2021","2021",Suppressed,22760,Suppressed
,"Clarke County, AL","01025","2022","2022",Suppressed,22515,Suppressed
,"Clarke County, AL","01025","2023 ","2023",Suppressed,22337,Suppressed
,"Clay County, AL","01027","2018","2018",0,13275,Unreliable
,"Clay County, AL","01027","2019","2019",Suppressed,13235,Suppressed
,"Clay County, AL","01027","2020","2020",Suppressed,13112,Suppressed
,"Clay County, AL","01027","2021","2021",Suppressed,14190,Suppressed
,"Clay County, AL","01027","2022","2022",Suppressed,14198,Suppressed
,"Clay County, AL","01027","2023 ","2023",Suppressed,14111,Suppressed
,"Cleburne County, AL","01029","2018","2018",0,14987,Unreliable
,"Cleburne County, AL","01029","2019","2019",0,14910,Unreliable
,"Cleburne County, AL","01029","2020","2020",Suppressed,14967,Suppressed
,"Cleburne County, AL","01029","2021","2021",0,15103,Unreliable
,"Cleburne County, AL","01029","2022","2022",Suppressed,15346,Suppressed
,"Cleburne County, AL","01029","2023 ","2023",Suppressed,15639,Suppressed
,"Coffee County, AL","01031","2018","2018",Suppressed,51909,Suppressed
,"Coffee County, AL","01031","2019","2019",Suppressed,52342,Suppressed
,"Coffee County, AL","01031","2020","2020",Suppressed,53230,Suppressed
,"Coffee County, AL","01031","2021","2021",Suppressed,54174,Suppressed
,"Coffee County, AL","01031","2022","2022",Suppressed,54805,Suppressed
,"Coffee County, AL","01031","2023 ","2023",Suppressed,55643,Suppressed
,"Colbert County, AL","01033","2018","2018",Suppressed,54762,Suppressed
,"Colbert County, AL","01033","2019","2019",10,55241,Unreliable
,"Colbert County, AL","01033","2020","2020",Suppressed,55411,Suppressed
,"Colbert County, AL","01033","2021","2021",15,57474,Unreliable
,"Colbert County, AL","01033","2022","2022",15,58033,Unreliable
,"Colbert County, AL","01033","2023 ","2023",25,58361,42.836825963
,"Conecuh County, AL","01035","2018","2018",Suppressed,12277,Suppressed
