"FIPS","Year","Deaths","Population","AgeAdjustedRate"
"01001",2019,28,95119,14.505183321066095
"01001",2020,38,78853,12.895404296574199
"01001",2021,45,70834,16.372714936261623
"01001",2022,26,33613,24.795458872252528
"01001",2023,20,15745,17.526908712074828
"01003",2019,7,33336,15.25243123813583
"01003",2020,50,61401,14.458953023995385
"01003",2021,20,36212,16.860433608881454
"01003",2022,48,73393,21.55539990934877
"01003",2023,41,49017,19.39824851563455
"01005",2019,20,46625,15.284982444188344
"01005",2020,14,77888,18.760261045023164
"01005",2021,23,16264,15.683825439921058
"01005",2022,41,45066,13.224634089170205
"01005",2023,37,32762,26.11968716251102
"01007",2019,6,70991,23.372051970714786
"01007",2020,8,44454,19.612641828893913
"01007",2021,24,41057,13.098908110793662
"01007",2022,37,74835,20.104428555988587
"01007",2023,40,51891,15.211327789895357
"01009",2019,45,31199,11.961446544746298
"01009",2020,32,93380,24.957055379182286
"01009",2021,25,45189,27.31370095067792
"01009",2022,43,73030,27.579595795111736
"01009",2023,5,63420,28.81216366901981
"01011",2019,20,46333,25.80000031953241
"01011",2020,25,22707,27.091954586021572
"01011",2021,9,50468,24.76703189326772
"01011",2022,34,93734,22.30453264842837
"01011",2023,44,49080,13.727111373295608
"01013",2019,17,33460,27.033015310874667
"01013",2020,47,52707,15.232230298831091
"01013",2021,16,40311,22.822397029052745
"01013",2022,19,41358,24.46590327351842
"01013",2023,30,41476,21.846868328246508
"01015",2019,44,11790,29.650653616812956
"01015",2020,18,54724,20.503632589227404
"01015",2021,40,57733,12.857587115767902
"01015",2022,43,92114,11.306559844942822
"01015",2023,33,62822,23.353628427768665
"01017",2019,42,53985,22.2377352663178
"01017",2020,33,89506,24.5403740404998
"01017",2021,46,55226,16.471821932837635
"01017",2022,10,68145,21.69500855583958
"01017",2023,34,78248,23.02811734091637
"01019",2019,40,46778,17.993329341301653
"01019",2020,25,62455,28.255627480002058
"01019",2021,30,10079,26.1434907946164
"01019",2022,19,56203,22.912143586262612
"01019",2023,22,64997,14.111573629306662
